1,266,394,266,412,192,415,192,397, Quấy:001,OTHER
2,270,438,270,457,194,456,194,437, Mặt hàng,OTHER
3,279,590,280,608,200,610,199,592, TIẾN MẶT,OTHER
4,305,611,305,631,193,632,194,613, TIỀN TRẢ LẠI,OTHER
5,314,482,314,501,195,501,195,483, 01100015000015,OTHER
6,317,282,316,316,193,311,194,277, VinCommerce,OTHER
7,323,568,323,587,193,587,193,568,,OTHER
8,321,460,320,479,194,477,195,458, Tim gà CP 500g,OTHER
9,340,547,340,565,194,565,194,547,,OTHER
10,377,373,377,394,191,392,191,371, Ngày bán: 15/08/2020 10,TIMESTAMP
11,383,522,383,545,194,544,194,521, TỔNG TIẾN PHẢI T. TOÁN,TOTAL_COST
12,418,481,417,501,357,500,358,480, 75.900,OTHER
13,415,376,416,391,368,393,367,378, 10:59,OTHER
14,422,438,423,460,348,461,347,438, ơn giá,OTHER
15,444,352,445,373,302,372,302,351, HÓA ƠN BÁN HÀNG,OTHER
16,496,628,496,654,260,656,259,630, (Giá đã bao gồm thuế gtgt),OTHER
17,489,311,490,332,377,333,377,312, 024.71066866-44561,OTHER
18,503,697,504,722,250,722,250,697, Chỉ xuất hóa đơn trong ngày,OTHER
19,528,765,528,790,229,792,230,767, CÁM ƠN QUÝ KHÁCH VÀ HỆN GẶP LẠI,OTHER
20,512,287,512,311,352,308,353,284, TP. Cầm Phà, T, Quảng Ninh,ADDRESS
21,523,265,522,287,344,284,345,262, DA khu DCLB cọc 8, P. Cảm Sơn,ADDRESS
22,532,240,532,266,336,261,336,236, VM-QNH Dự án KDC lần biển cọc 6,OTHER
23,564,788,565,814,184,817,184,791, Hot ine: 02471066866 Website: vinmart.com,OTHER
24,553,438,554,457,494,459,493,440, T. Tiển,OTHER
25,553,374,554,392,459,392,459,374,,OTHER
26,570,721,570,746,189,748,188,723, Tax invoice will be issued within same day,OTHER
27,566,590,566,610,508,608,509,588, 77.000,OTHER
28,564,480,563,502,503,502,504,479, 75.900,OTHER
29,566,613,566,629,518,630,518,614, 1.100,OTHER
30,566,567,566,587,508,586,507,567, 75.900,OTHER
31,564,523,565,543,507,545,506,525, 75.900,TOTAL_COST
32,561,395,561,415,445,416,444,397, NVBH:09021212,OTHER
