1,190,942,504,955,503,977,189,964, Xin cám ơn và hẹn gặp lại quý khách l,OTHER
2,293,921,414,922,413,945,293,943, Thu ngân: BH3,OTHER
3,149,878,563,895,563,924,148,906, SỐ GD: 000AC2212008002297 Ngày: 16/08/2020-17:12,TIMESTAMP
4,140,841,333,846,332,868,139,864, Giá trị thưởng tích lũy:,OTHER
5,503,853,566,856,565,878,502,875, 10,736,OTHER
6,139,813,273,814,272,836,138,835, Hạng hiện thời:,OTHER
7,140,778,275,782,274,807,139,803, Điểm hiện thời:,OTHER
8,512,790,564,793,563,817,511,814, 1,073,OTHER
9,143,748,238,752,237,775,142,771, Điêm mua:,OTHER
10,147,721,305,721,305,743,147,743, (0) nguyễn thị hòe,OTHER
11,148,691,358,693,358,715,148,712, Mã thẻ: A10000001192,OTHER
12,142,647,271,652,270,671,142,666, Tiền trả lại VND:,OTHER
13,499,654,559,652,560,674,499,676, 38,000,OTHER
14,346,624,386,626,385,646,345,644, VND,OTHER
15,151,616,277,620,277,639,150,636, Tiền khách trả:,OTHER
16,492,624,558,623,559,643,492,643, 100,000,OTHER
17,151,592,239,593,239,616,151,614, Tổng tiền:,TOTAL_COST
18,500,596,558,593,559,614,500,617, 62,000,TOTAL_COST
19,155,555,249,564,248,586,153,578, Tổng cộng:,OTHER
20,501,562,558,559,558,578,501,582, 62,000,OTHER
21,157,532,229,536,228,558,156,554, Tổng số:,OTHER
22,305,508,337,509,336,525,304,524, GOI,OTHER
23,165,501,238,504,237,522,164,519, Giá bán:,OTHER
24,400,509,446,506,447,525,401,529, 1,600,OTHER
25,496,503,553,500,555,521,497,523, 16,000,OTHER
26,166,474,265,481,264,500,165,493, Giá đăng ký:,OTHER
27,399,484,446,480,447,501,401,504, 2,000,OTHER
28,167,450,447,457,446,482,166,474, 291001760000 Bim bim Oishi 20g NT,OTHER
29,394,435,445,431,446,451,395,454, 12,000,OTHER
30,495,426,551,421,553,441,497,446, 12,000,OTHER
31,393,385,446,380,448,399,395,404, 20,000,OTHER
32,494,375,549,369,551,388,496,394, 20,000,OTHER
33,310,333,344,334,343,350,309,349, CHA,OTHER
34,397,336,445,332,446,351,398,355, 14,000,OTHER
35,494,325,547,319,550,337,496,343, 14,000,OTHER
36,190,278,266,287,264,302,188,292, Tôn hàng,OTHER
37,267,255,475,253,475,286,267,288, HÓA ĐƠN BÁN HÀNG,OTHER
38,295,176,448,178,448,204,295,202, MINIMART ANAN,SELLER
