1,74,981,655,977,656,1009,74,1013, SỐ GD: 000AC2212008001407 Ngày: 11/08/2020-08:06,TIMESTAMP
2,58,922,328,924,328,953,58,950, Giá trị thưởng tích lũy:,OTHER
3,586,918,655,914,657,944,588,949,,OTHER
4,58,882,246,884,245,911,58,909, Hạng hiện thời:,OTHER
5,58,837,241,841,241,867,58,864, Điểm hiện thời:,OTHER
6,56,802,188,802,188,825,56,825, Điêm mua:,OTHER
7,55,764,286,755,287,782,56,791, (0) đinh hương thu,OTHER
8,48,727,358,714,359,739,49,751, Mã thẻ: A10000001066,OTHER
9,35,663,307,655,308,680,35,688, Tiền khách trả từ TK:,OTHER
10,345,655,405,655,405,682,345,682, VND,OTHER
11,576,652,657,649,658,677,577,680, 50,000,OTHER
12,35,622,229,617,229,645,35,650, Tiển khách trả:,OTHER
13,346,618,405,618,405,645,346,645, VND,OTHER
14,576,615,656,612,657,640,577,642, 24,000,OTHER
15,32,579,165,576,166,610,33,614, Tổng tiền:,TOTAL_COST
16,572,574,653,571,654,598,573,601, 74,000,TOTAL_COST
17,34,525,183,527,183,560,34,558, Tổng cộng:,OTHER
18,568,523,648,523,648,550,568,550, 74,000,OTHER
19,37,486,145,489,145,520,36,517, Tổng số:,OTHER
20,556,441,635,441,635,467,556,467, 20,000,OTHER
21,413,441,481,441,481,468,413,468, 5,000,OTHER
22,265,438,316,441,314,465,264,463, HOP,OTHER
23,49,399,604,403,604,432,49,428, 2910081900000 Sữa TH true milk đường 110m NT,OTHER
24,553,363,631,363,631,389,553,389, 54,000,OTHER
25,410,363,477,360,478,387,411,390, 6,750,OTHER
26,263,361,315,361,315,384,263,384, HOP,OTHER
27,53,354,155,358,154,383,52,379, Giá bán:,OTHER
28,412,325,478,325,478,352,412,352, 7,250,OTHER
29,55,317,201,321,200,347,54,342, Giá đăng ký:,OTHER
30,59,281,623,292,623,317,59,306, 8934673575348 Sữa đàn bò VNM socola 180ml NT,OTHER
31,370,249,610,257,609,284,370,276, Đơn giá . Thành tiến,OTHER
32,216,248,336,251,336,273,216,271, SL ĐVT,OTHER
33,69,246,186,250,185,272,68,269, Tên hàng,OTHER
34,196,200,511,207,510,240,195,233, HÓA ĐƠN BÁN HÀNG,OTHER
35,205,118,491,123,491,145,205,141, Chợ Sủi Phú Thị Gia Lâm,ADDRESS
36,236,81,466,84,466,107,236,103, MINIMARTANAN,SELLER
