1,308,835,534,836,534,858,309,856, Cám ơn quý khách, Hẹn gặp lại:,OTHER
2,241,793,364,789,365,815,242,818, Cộng tiền hàng,TOTAL_COST
3,541,794,602,795,602,817,541,816, 92,000,TOTAL_COST
4,381,757,439,755,441,779,382,780, 46,000,OTHER
5,541,759,601,760,601,782,541,781, 92,000,OTHER
6,246,731,384,731,384,749,245,750, Xuc xich CP8 cây,OTHER
7,381,698,441,699,440,721,380,720, Đơn giá,OTHER
8,517,700,597,702,596,721,516,719, Thành tiền,OTHER
9,244,640,339,637,340,655,245,658, Số: SON55129,OTHER
10,481,639,595,638,596,656,482,658, Ngày: 10-08-2020,TIMESTAMP
11,341,607,497,607,498,625,342,625, HÓA ĐƠN BÁN HÀNG,OTHER
12,334,552,505,553,504,568,334,567, 0869322496-02438765210,OTHER
13,246,529,592,528,593,546,247,547, Thôn Phú Thuy, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội,ADDRESS
14,334,503,505,502,504,522,333,522, CỬA HÀNG NĂM OÁNH,SELLER
