1,76,807,554,808,554,841,76,841, Xin cám ơn và hẹn gặp lại quý khách l,OTHER
2,233,776,417,771,418,801,234,806, Thu ngân: BH3,OTHER
3,16,723,635,723,635,753,16,753, SỐ GD: 000AC2212008001700 Ngày: 12/08/2020-15:31,TIMESTAMP
4,308,663,369,663,369,691,308,691, VND,OTHER
5,555,662,645,662,645,692,555,692, 57,000,OTHER
6,3,660,184,661,184,687,3,686, Tiền khách trả:,OTHER
7,2,617,120,617,120,651,2,651, Tổng tiền::,TOTAL_COST
8,555,617,645,617,645,647,555,647, 57,000,TOTAL_COST
9,1,560,138,565,137,598,0,593, Tổng cộng:,OTHER
10,553,561,644,561,644,591,553,591, 57,000,OTHER
11,2,523,101,523,100,554,1,554, Tổng số:,OTHER
12,372,468,458,466,458,492,372,495, 15,000,OTHER
13,224,468,277,468,277,493,224,493, CHA,OTHER
14,547,468,634,466,635,493,548,496, 15,000,OTHER
15,9,429,545,428,545,454,9,456, 291043820000 tương ớt maggi chai 330g No,OTHER
16,12,384,118,384,118,406,12,406, Giá bán:,OTHER
17,386,381,457,381,457,408,386,408, 4,200,OTHER
18,545,381,632,381,632,407,545,407, 42,000,OTHER
19,226,381,277,381,277,405,226,405, CAI,OTHER
20,13,342,159,342,159,368,13,368, Giá đăng ký:,OTHER
21,387,342,458,339,460,368,388,370, 4,500,OTHER
22,16,304,576,304,576,328,16,329, 291018880000 Bánh mì ruốc stass hải châu NT,OTHER
23,346,268,445,268,445,290,346,290, Đơn giá,OTHER
24,29,264,143,267,142,289,28,287, Tên hàng,OTHER
25,244,266,301,266,301,289,244,289, ĐVT,OTHER
26,181,266,238,266,238,289,181,289, SL,OTHER
27,438,266,605,264,605,287,439,288, Tá Thành tiền,OTHER
28,159,219,494,221,494,249,159,247, HÓA ĐƠN BÁN HÀNG,OTHER
29,173,132,476,130,477,152,173,155, Chợ Sủi Phú Thị Gia Lâm,ADDRESS
30,208,92,449,92,449,114,208,114, MINIMARTANAN,SELLER
