1,269,983,359,980,360,1006,270,1009, KHÔNG HOÀN TRẢ -,OTHER
2,78,977,276,970,277,991,78,998, Chụp băng Galaxy M21,OTHER
3,74,945,372,942,372,970,74,974, Samsung Triple Came ra Kết,OTHER
4,77,920,136,918,137,938,78,940,,OTHER
5,383,904,441,904,441,925,383,924, UND161,288,OTHER
6,178,881,232,879,233,903,179,905, HOÀN TIẾN,OTHER
7,383,840,442,842,441,861,382,859, UND461, 288,OTHER
8,179,817,236,815,236,838,180,840, HÙY 1.TOÁN,OTHER
9,383,800,442,800,442,820,383,820, UND161, 288,OTHER
10,179,798,235,798,235,818,179,817, THANH TOÁN,OTHER
11,242,779,301,781,300,800,241,798, MASTERCARD,OTHER
12,385,762,444,762,444,782,385,782, UND198,776,OTHER
13,176,739,228,737,228,757,177,759, HOÀN TIẾN,OTHER
14,384,695,443,696,442,716,383,715,,OTHER
15,175,672,233,673,233,693,175,692, HÙY T. TOÁN,OTHER
16,382,652,440,652,440,671,382,671, UND198,776,OTHER
17,178,652,233,650,234,669,178,671, THANH TOÁN,OTHER
18,380,607,439,607,439,629,380,630, UNDS60,215,OTHER
19,177,584,230,585,230,605,177,605, HOÀN TIẾN,OTHER
20,381,544,438,546,437,568,379,564, UNDS60,215,OTHER
21,181,521,236,522,235,542,180,542, HÙY T. TOÁN,OTHER
22,380,505,437,505,437,524,380,524, UNDS60,215,OTHER
23,181,501,237,502,238,522,181,521, THANH TOÁN,OTHER
24,251,462,369,463,368,484,250,483, TỔNG KẾT THEO LOẠI THỂ,OTHER
25,368,445,434,446,435,465,368,464, UND1,520,279,TOTAL_COST
26,183,425,234,423,235,443,184,445, HOÀN TIẾN,OTHER
27,368,384,435,384,434,404,367,404, UND1,520,279,OTHER
28,183,363,239,363,239,382,183,382, HÙY T. TOÁN,OTHER
29,368,346,433,344,434,362,369,365, UND1,520,219,OTHER
30,184,342,239,343,239,362,184,361, THANH TOÁN,OTHER
31,271,320,346,323,346,344,271,342, LÔ ĐÃ KẾT TOÁN,OTHER
32,271,300,347,299,346,323,270,323,,OTHER
33,314,271,365,273,364,293,313,291, SỐ H. BƠN:,OTHER
34,218,219,402,223,402,245,217,241, TỔNG KẾT GIAO DỊCH,OTHER
35,388,195,433,193,433,212,388,214,,TIMESTAMP
36,235,193,297,193,297,212,234,212, 13/08/2020,TIMESTAMP
37,187,195,244,192,244,212,187,215,,TIMESTAMP
38,387,154,432,155,432,174,387,173,,OTHER
39,185,156,283,154,283,172,186,174, PHIÊN NĂM TỔNG DỤNG:,OTHER
40,352,134,433,136,432,155,352,153, 000000100112102,OTHER
41,186,139,249,136,250,154,186,157, NERCHANT ID,OTHER
42,386,117,432,117,432,136,386,135,,OTHER
43,187,116,249,117,248,136,186,136, TERNINAL ID:,OTHER
44,332,100,431,99,431,116,332,117, CAM BINH CAN PHA QU CH,ADDRESS
45,321,80,432,81,431,98,321,97, 5156-10 7 NINH TIẾN,ADDRESS
46,186,82,262,80,263,98,187,100,,OTHER
47,367,64,429,64,429,81,366,80, 5156-VINMART,SELLER
48,188,62,245,62,245,83,187,82, TẾN MỊ LÝ:,SELLER
49,259,12,346,14,345,39,259,37,,OTHER
