1,30,972,194,971,194,989,30,990, Chụp bang Galaxy M21,OTHER
2,30,949,239,948,239,970,30,971, Samsung Triple Camera,OTHER
3,31,924,82,924,82,943,31,943,,OTHER
4,129,819,318,818,318,839,130,841, Powered by POS365.VN,OTHER
5,135,793,312,791,312,813,135,814, Cảm ơn và hẹn gặp lạil,OTHER
6,31,745,234,739,235,761,32,767, Mười lăm nghìn đồng chẫn,OTHER
7,211,709,289,712,288,733,210,730, Tiền thừa:,OTHER
8,352,682,404,682,404,701,352,701, 15,000,OTHER
9,168,681,287,684,286,703,167,701, Tiền khách đưa:,OTHER
10,351,652,402,652,402,671,351,671, 15,000,TOTAL_COST
11,197,650,288,653,287,675,197,673, Tống cộng:,TOTAL_COST
12,197,624,286,624,287,643,198,643, Chiết khấu:,OTHER
13,160,594,286,596,285,619,160,616, Cộng tiền hàng:,OTHER
14,346,597,399,594,399,613,347,616, 15,000,OTHER
15,348,548,398,548,398,568,348,568, 15,000,OTHER
16,36,550,88,550,88,570,36,570, 15.000,OTHER
17,36,523,193,524,193,542,36,541, Trà chanh nha đam,OTHER
18,314,496,396,495,396,513,314,514, Thành tiền,OTHER
19,36,495,100,496,99,517,35,515, Đơn giá,OTHER
20,38,447,93,446,93,465,38,466, Địa chỉ:,OTHER
21,39,398,130,400,129,419,39,417, Khách hàng:,OTHER
22,142,370,298,370,299,385,143,385, 13/08/2020 - 20: 34,TIMESTAMP
23,93,343,345,346,344,365,93,362, Số HD130820-0027 - Bản: B.34[A],OTHER
24,132,322,305,322,305,340,132,340, HÓA ĐƠN BÁN HÀNG,OTHER
25,131,285,307,285,307,303,131,303, ĐT: 0858.931.931,OTHER
26,88,258,351,255,351,277,89,280, Tp. Cẩm Phả - Quảng Ninh,ADDRESS
27,43,229,386,229,385,255,43,255, Tổ 7 khu Tân Lập 4 - P.Cẩm Thủy Số,ADDRESS
28,173,202,265,202,265,227,173,227, PHỔ MỎ,SELLER
