1,43,961,239,961,239,979,43,979, Chụp băng Galaxy M21,OTHER
2,43,933,295,933,295,956,43,956, Samsung Triple Camera,OTHER
3,52,903,102,903,102,919,52,919,,OTHER
4,55,463,205,463,205,481,55,481, Số GD treo:412,OTHER
5,54,435,216,435,216,457,54,457, TÊN NV:4930POS3,OTHER
6,53,409,139,409,139,431,53,431, Quầy:001,OTHER
7,360,409,496,402,497,420,360,427,,OTHER
8,203,384,350,383,350,402,203,403, Giao dịch treo,OTHER
9,52,357,212,357,213,379,53,379, Ngày:13/08/2020,TIMESTAMP
10,338,355,493,351,495,373,339,378, Thời gian:20:26,TIMESTAMP
11,276,307,401,306,401,329,276,330, 02471066866-49301,OTHER
12,258,278,420,280,420,302,257,301, TP. Cầm Phả, Quảng Ninh,ADDRESS
13,52,267,194,275,192,312,50,305, VinCommerce,SELLER
14,241,248,434,250,434,275,240,274, Số 1080-1082 Đường Trần Phú,ADDRESS
15,244,223,431,222,431,243,244,244, VÀ VIM - ONH 1060-1062 Trần Phú Các,ADDRESS
