1,63,971,257,967,257,985,63,989, Chụp băng Galaxy M21,OTHER
2,61,943,313,939,314,962,62,966, Samsung Triple Camera,OTHER
3,66,912,123,911,123,930,66,931,,OTHER
4,10,483,169,488,169,510,11,504, Số GD treo: 1980,OTHER
5,11,456,182,461,181,482,10,478, TÊN NV:4456POS2,OTHER
6,338,436,489,433,490,451,339,454,,OTHER
7,9,425,102,429,101,455,10,451, Quầy:001,OTHER
8,170,403,328,406,327,429,170,426, Giao dịch treo,OTHER
9,316,378,487,372,489,395,317,401, Thời gian:21:37,TIMESTAMP
10,11,371,182,377,182,400,10,394, Ngày:14/08/2020,TIMESTAMP
11,254,326,389,323,389,345,254,348, 024.71066865-44561,OTHER
12,226,297,418,293,419,316,227,320, 19 TP. Câm Phả, T. Quảng Ninh,ADDRESS
13,16,279,167,286,165,323,15,316, VinCommerce,SELLER
14,215,266,435,261,435,284,215,289, 19 DA Khu DCLB cọc 6, P. Câm Sơn Nha,ADDRESS
15,202,232,448,225,449,254,203,261, VM4 QNH Dự án KDC lấn biển cọc 6,ADDRESS
