1,24,970,188,972,188,990,24,988, Chup bang Galaxy M21,OTHER
2,25,948,233,950,233,970,25,967, Samsung Triple Camera,OTHER
3,26,923,77,923,77,942,26,942,,OTHER
4,145,719,304,714,305,733,146,737, Powered by POS365.VN,OTHER
5,151,695,300,693,300,711,151,714, Cảm ơn và hẹn gặp lạil,OTHER
6,64,661,266,657,266,676,65,681, Tám mươi bồn nghìn đồng chắn,OTHER
7,204,635,268,635,268,653,204,653, Tiền thừa:,OTHER
8,325,634,377,635,377,651,325,650, 116,000,OTHER
9,167,611,264,611,264,626,167,626, Tiền khách đưan,OTHER
10,322,608,376,607,377,626,323,627, 200,000,OTHER
11,192,587,266,587,266,605,192,605, Tống cộng:,TOTAL_COST
12,330,586,375,587,375,603,330,602, 84,000,TOTAL_COST
13,192,563,268,563,268,581,192,581, Chiết khấu:,OTHER
14,161,541,266,540,267,559,161,560, Cộng tiền hàng:,OTHER
15,328,539,372,540,372,556,328,555, 84,000,OTHER
16,66,503,111,503,111,519,66,519, 12.000,OTHER
17,325,499,369,500,369,516,325,515, 24.000,OTHER
18,64,479,212,479,212,498,64,498, Hướng dương óc chó,OTHER
19,67,459,112,459,112,475,67,475, 10,000,OTHER
20,323,455,368,456,368,472,323,471, 60,000,OTHER
21,66,435,136,439,135,457,65,453, Trà chanh,OTHER
22,67,416,119,416,119,432,67,432, Đơn giá,OTHER
23,296,412,366,409,366,427,295,430, Thành tiền,OTHER
24,67,374,113,374,113,390,67,390, Địa chỉ:,OTHER
25,67,354,99,354,99,370,67,370, SĐT:,OTHER
26,68,333,141,336,141,352,67,349, Khách hàng th,OTHER
27,153,309,284,309,284,324,153,324, 11/08/2020 - 22:00,TIMESTAMP
28,112,289,323,290,323,305,112,304, Số : HD110820-0052 - Bản : B (44AA,OTHER
29,141,269,292,268,292,286,141,287, HÓA ĐƠN BÁN HÀNG,OTHER
30,141,237,290,237,290,255,141,255, ĐT: 0858.931.931,OTHER
31,104,212,327,211,328,232,104,234, Tp. Cấm Phá - Quảng Ninh,ADDRESS
32,67,189,355,191,355,213,67,211, Tổ 7 khu Tân Lập 4. P.Cẩm Thủy,ADDRESS
33,177,170,254,167,254,189,176,191,,SELLER
