1,40,958,239,959,239,980,40,979, Chụp băng Galaxy M21,OTHER
2,40,932,293,933,293,956,40,955, Samsung Triple Camera,OTHER
3,45,902,102,902,102,921,45,921,,OTHER
4,114,643,392,636,393,661,115,669, XIN CẢM ƠN QUÍ KHÁCHI,OTHER
5,55,609,226,606,227,628,55,632, Tổng số thanh toán:,TOTAL_COST
6,395,602,472,599,472,622,395,624, 76.000d,TOTAL_COST
7,56,576,237,576,237,597,56,597, Chiết khấu bán hàng:,OTHER
8,53,543,152,545,151,571,53,568, Tổng cộng:,OTHER
9,397,542,470,542,470,561,397,561, 76.000d,OTHER
10,56,517,143,517,143,540,56,540, GDCD 10,OTHER
11,290,515,340,515,340,534,290,534, 7.000,OTHER
12,413,513,472,513,472,532,413,532, 7.000đ,OTHER
13,54,490,172,487,173,511,54,513, Tiếng Anh 10,OTHER
14,278,486,340,486,340,509,278,509, 15.000,OTHER
15,400,487,471,484,471,503,401,506, 15.000đ,OTHER
16,55,462,127,462,127,484,55,484, Địa lí 10,OTHER
17,278,461,337,461,337,480,278,480, 14.000,OTHER
18,401,459,470,459,470,478,401,478, 14.0004,OTHER
19,54,433,145,433,145,455,54,455, Lịch sử 10,OTHER
20,278,431,338,431,338,453,278,453, 15.000,OTHER
21,400,431,469,431,469,450,400,450, 15.0004,OTHER
22,54,401,164,406,163,431,53,426, Vở kẻ ngang,OTHER
23,287,405,337,405,337,426,287,426, 7.000,OTHER
24,398,402,469,402,469,425,398,425, 14.0000,OTHER
25,53,376,206,379,205,401,53,399, Vở kẻ ngang 80 tr,OTHER
26,276,377,338,377,338,399,276,399, 11.000,OTHER
27,398,375,469,375,469,398,398,398, 11.000đ,OTHER
28,61,344,143,348,142,370,60,367, Tên hàng,OTHER
29,374,346,468,343,468,365,374,367, Thịnh tiên,OTHER
30,67,319,334,319,334,337,67,337, Thời gian:20:08:01 - 14/08/2020,TIMESTAMP
31,67,291,360,291,360,309,67,309, ĐT 0333863328-- Fax 0333863328,OTHER
32,65,262,234,265,234,287,64,285, Nhân viên thu ngân:,OTHER
33,66,231,386,231,386,253,66,253, Đường Đư: 212 Đường Trần Phú-Cẩm Phản,ADDRESS
34,130,201,403,201,403,225,130,225, NHÀ SÁCH GD-TC CẨM PHẢN,SELLER
