1,436,1324,710,1318,712,1368,437,1374, Quú Khách,OTHER
2,320,1252,822,1247,822,1299,321,1305, Hàn Hạnh Phục Vụ,OTHER
3,740,1158,871,1151,873,1196,742,1202, 39,000,TOTAL_COST
4,269,1167,484,1163,485,1207,270,1211, Thanh toán:,TOTAL_COST
5,268,1079,530,1074,530,1124,269,1129, Sl xe gửi:,OTHER
6,258,1021,436,1009,439,1049,261,1061, Giảm giá:,OTHER
7,249,955,396,947,398,989,252,997, Sốt liền:,OTHER
8,730,933,853,924,855,959,733,969, 39,000,OTHER
9,247,894,503,877,504,909,250,927, 1) Nước ép dưa hấu,OTHER
10,625,868,722,863,724,893,626,898, 39,000,OTHER
11,767,860,858,855,860,885,769,890, 39,000,OTHER
12,235,839,372,832,374,872,237,879, Phục vụ:,OTHER
13,369,762,558,747,561,781,372,795, 14/08/2020,OTHER
14,231,763,330,759,332,801,233,806, Ngày:,OTHER
15,695,737,839,730,841,765,697,772, 21:04:24,OTHER
16,583,743,652,739,654,772,585,776, Giờ:,OTHER
17,231,691,550,675,552,713,233,729, SỐ HĐ: 200800680,OTHER
18,750,662,837,658,839,699,753,703, B044,OTHER
19,455,570,595,563,599,633,459,640, Hiền,OTHER
20,268,495,771,478,773,534,269,552, Để Yên Cho Bác Sĩ,OTHER
21,281,386,743,366,746,426,283,446, PHIẾU TÍNH TIỀN,OTHER
22,234,271,385,268,386,302,235,305, nhanam,OTHER
23,393,233,782,219,784,269,394,283, BOOKS'N COFFEE,SELLER
