1,285,980,427,977,428,992,285,995, Thu ngân: BH3,OTHER
2,83,915,327,913,327,935,83,937, Giá trị thưởng tích lũy:,OTHER
3,538,905,609,901,610,922,538,926, 39,195,OTHER
4,83,883,251,881,251,903,83,905, Hạng hiện thời:,OTHER
5,553,840,613,836,615,860,554,864, 2,733,OTHER
6,79,843,248,841,248,867,79,869, Điểm hiện thời:,OTHER
7,79,808,200,809,199,832,78,830, Điêm mua:,OTHER
8,83,771,301,768,301,793,83,796, (O) nguyễn thị thơm,OTHER
9,83,731,353,731,352,754,83,754, Mã thẻ: A10000000372,OTHER
10,540,675,610,674,610,696,540,697, 78,184,OTHER
11,79,672,239,673,239,698,79,698, tiền trả lại VND:,OTHER
12,528,635,608,637,608,659,528,658, 500,000,OTHER
13,336,635,388,634,389,659,337,660, VND,OTHER
14,84,631,247,631,248,657,84,656, Tiển khách trả:,OTHER
15,527,600,608,602,607,625,526,624, 421,016,TOTAL_COST
16,89,600,196,599,196,626,89,627, Tổng tiền:,TOTAL_COST
17,522,560,603,561,603,584,523,582, 421,016,OTHER
18,92,555,205,559,205,584,92,580, Tổng cộng,OTHER
19,95,526,183,528,182,553,94,552, Tổng số:,OTHER
20,525,497,590,496,590,515,525,516, 53,000,OTHER
21,393,496,460,495,460,517,393,518, 53,000,OTHER
22,281,492,324,494,323,514,280,512, HOP,OTHER
23,509,437,583,437,583,455,509,455, 368,016,OTHER
24,403,438,455,437,455,456,403,457, 7,667,OTHER
25,285,438,325,438,325,454,285,454, HOP,OTHER
26,117,428,207,433,206,451,116,446, Giá bán:,OTHER
27,402,414,457,413,458,432,403,433, 8,000,OTHER
28,122,401,237,410,236,428,120,419, Giá đăng ký:,OTHER
29,234,324,481,334,481,363,234,353, HÓA ĐƠN BÁN HÀNG,OTHER
30,245,269,465,279,464,297,245,287, Chợ Sủi Phú Thị Gia Lâm,ADDRESS
31,271,243,445,252,445,271,270,263, MINIMARTANAN,SELLER
32,14,36,226,6,237,74,25,106, FOUB,OTHER
