1,270,1267,694,1256,696,1290,271,1301, Pass Wifi: trungnguyenlegend,OTHER
2,376,1191,587,1184,589,1219,376,1227, See You Again',OTHER
3,405,1153,558,1147,560,1181,407,1187, Thank Youl,OTHER
4,239,1118,705,1107,705,1139,239,1151, vui long thong bao khi mua hang,OTHER
5,210,1081,733,1066,734,1100,211,1115, Quy khach can lay hoa don tai chinh,OTHER
6,357,999,454,995,456,1032,358,1036, 58, 182,OTHER
7,533,994,619,992,620,1027,535,1031, 5,818,OTHER
8,682,992,776,989,777,1026,683,1029, 64,000,OTHER
9,343,961,453,958,454,992,344,995, Net.Amt,OTHER
10,684,953,775,954,775,990,684,989, Amount,OTHER
11,625,881,730,880,732,915,626,917, -64,000,OTHER
12,179,852,265,849,266,885,181,888, Total,TOTAL_COST
13,635,844,727,845,727,880,634,879, 64,000,OTHER
14,181,778,538,776,539,810,181,812, Sua Chua Voi Trai Ca pha,OTHER
15,632,776,768,773,769,809,633,811, 64,000,OTHER
16,180,707,352,705,352,739,181,741, Description,OTHER
17,632,705,725,701,726,737,634,740, Amount,OTHER
18,330,613,627,616,626,671,329,668, XX COPY XX,OTHER
19,182,502,250,507,248,539,181,535, Ban:,OTHER
20,286,471,492,473,492,502,286,500, 04/20/19 11:25,TIMESTAMP
21,183,467,289,471,288,503,182,498, Ngay:,OTHER
22,520,439,605,440,604,466,519,465, Trans:,OTHER
23,184,429,483,439,482,473,182,463, NVien: Store Manager,OTHER
24,689,434,767,432,768,468,690,471, 40497,OTHER
25,288,399,562,402,562,430,288,427, 00000P0121000040501,OTHER
26,184,391,273,398,271,430,182,424, Slip:,OTHER
27,180,322,478,328,478,362,180,356, Mobile: 0915 280 101,OTHER
28,183,286,277,292,275,324,181,317, Phone:,OTHER
29,184,251,754,257,753,295,183,289, Add: 683 - 685 duong 3/2 P.6 Q.10 - HCM,ADDRESS
30,257,216,695,222,695,256,257,251, Welcome to Trung Nguyen Legend,SELLER
31,394,149,591,154,589,210,392,204, Legend,SELLER
32,437,132,547,134,547,154,437,152,,OTHER
