1,295,1006,493,974,498,998,300,1030, và hẹn gặp lại quý khách l,OTHER
2,293,979,413,960,417,986,298,1005, Thu ngân: BH2,OTHER
3,143,953,545,913,548,942,146,982, SỐ GD: 000AC2212008002212 Ngày: 16/08/2020-08:33,TIMESTAMP
4,130,911,328,896,330,918,131,934, Giá trị thưởng tích lũy:,OTHER
5,488,882,546,880,547,900,489,902, 33,4183,OTHER
6,127,882,266,868,268,891,129,904, Hạng hiện thời:,OTHER
7,128,847,264,836,267,859,130,870, Điểm hiện thời:,OTHER
8,497,827,545,824,546,845,497,848, 4,2:54,OTHER
9,129,755,203,749,205,771,131,777, Mã thẻ:,OTHER
10,213,751,341,745,341,764,214,770, A10000000032,OTHER
11,121,708,251,704,252,725,122,728, Tiền trả lại VND:,OTHER
12,127,673,258,671,259,693,128,694, Tiển khách trả:,OTHER
13,328,673,368,674,368,694,328,693, VND,OTHER
14,471,674,535,675,535,695,471,694, 265,000,OTHER
15,129,646,227,648,226,671,128,669, Tổng cộng:,TOTAL_COST
16,471,648,534,649,533,667,470,666, 264,500,TOTAL_COST
17,129,618,203,619,203,642,129,641, Tổng số:,OTHER
18,281,587,317,588,317,606,281,605, CAI,OTHER
19,477,590,530,591,530,610,477,609, 13,500,OTHER
20,380,587,426,588,426,608,380,607, 4,500,OTHER
21,140,559,402,565,401,583,139,577, 291022440000 bánh mì nhokđ nt,OTHER
22,476,538,529,539,529,558,476,557, 44,000,OTHER
23,372,535,425,536,425,555,372,554, 44,000,OTHER
24,283,533,317,534,317,550,283,549, HOP,OTHER
25,141,498,516,512,515,537,141,522, 3850425002927 Bánh trứng Custard Thái 204 NT,OTHER
26,469,485,530,487,529,505,468,503, 130,000,OTHER
27,364,483,427,484,426,502,363,501, 130,000,OTHER
28,476,432,529,436,527,454,474,450, 30,000,OTHER
29,375,431,426,432,425,448,374,447, 30,000,OTHER
30,477,386,527,387,527,403,477,402, 47,000,OTHER
31,376,380,426,381,426,397,376,396, 47,000,OTHER
32,285,375,323,379,322,395,284,391,,OTHER
33,245,289,455,308,452,334,242,315, HÓA ĐƠN BẤN HÀNG,OTHER
34,254,227,447,248,445,271,251,250, Chợ Sủi Phú Thị Gia Lâm,ADDRESS
35,274,202,433,219,430,243,272,227, MINIMARTANAN,SELLER
