1,181,968,579,961,579,987,181,993,,OTHER
2,314,945,469,941,469,963,315,968, Thu ngân: BH3,OTHER
3,123,908,655,899,656,928,124,937, SỐ GD: 000AC2212008001743 Ngày: 13/08/2020-15:53,TIMESTAMP
4,103,864,359,864,359,886,103,886, Giá trị thưởng tích lũy:,OTHER
5,584,853,662,849,664,875,586,879, 27,475,OTHER
6,97,832,278,828,278,853,98,858, Hạng hiện thời:,OTHER
7,97,790,276,790,276,816,97,816, Điểm hiện thời:,OTHER
8,95,752,224,752,224,778,95,778, Điêm mua:,OTHER
9,99,711,418,706,418,735,100,739, (0) nguyễn thị thanh huyền,OTHER
10,97,673,386,669,386,691,97,696, Mã thẻ: A10000001394,OTHER
11,590,607,669,605,670,631,591,634, 97,000,OTHER
12,375,606,431,606,431,634,375,634, VND,OTHER
13,90,606,269,603,270,628,91,632, Tiển khách trả:,OTHER
14,91,565,227,570,226,601,90,596, Tổng cộng:,TOTAL_COST
15,587,568,666,565,667,592,588,594, 97,000,TOTAL_COST
16,93,531,193,531,193,561,93,561, Tổng số:,OTHER
17,430,489,503,489,503,512,430,512, 72,000,OTHER
18,577,488,656,485,657,511,578,513, 72,000,OTHER
19,303,487,348,487,348,508,303,508, GOI,OTHER
20,106,449,616,451,616,480,106,478, 8888336016603 miếng 16t huggie newborn 2 NT,OTHER
21,574,415,648,415,648,438,574,438, 25,000,OTHER
22,427,415,501,415,501,438,427,438, 25,000,OTHER
23,302,410,350,413,348,436,301,433, GOI,OTHER
24,112,374,586,380,586,409,111,403, 8935265211101 Bánh trứng tràng an, piso NT,OTHER
25,218,343,630,349,629,375,218,369,,OTHER
26,122,339,232,345,230,367,121,361, Tên hàng,OTHER
27,240,298,534,306,533,338,239,330, HÓA ĐƠN BÁN HÀNG,OTHER
28,248,218,517,229,516,251,247,241, Chợ Sủi Phú Thị Gia Lâm,ADDRESS
29,277,186,490,195,489,218,276,209, MINIMARTANAN,SELLER
