1,471,1280,692,1309,688,1335,467,1306, JACNYMANMY 11:00 27938,OTHER
2,493,1222,729,1253,726,1281,489,1251, Co.opFood. Hen gap lai,OTHER
3,489,1193,774,1228,770,1254,485,1218, cam on Quy Khach da den mua,OTHER
4,382,1095,530,1089,531,1114,382,1119, Diem dau ngay:,OTHER
5,380,1068,460,1065,461,1090,381,1094, Ho ten:,OTHER
6,379,1041,459,1041,460,1065,380,1065, Ma so,OTHER
7,693,988,786,992,784,1017,692,1013, 5,181.82,OTHER
8,360,989,590,980,591,1005,361,1014, Bao gom thue GTGT 10%:,OTHER
9,681,956,787,960,786,990,680,986, 57,000.00,OTHER
10,360,964,447,958,450,982,362,988, Tien mat,OTHER
11,356,932,604,925,604,953,357,961, Phuong thuc thanh toan,OTHER
12,410,874,611,872,611,901,410,903, Tong so luong hang:,OTHER
13,684,846,784,848,784,875,684,873, 57,000.00,OTHER
14,357,850,613,842,614,871,358,878, Tong so tien thanh toan:,TOTAL_COST
15,684,793,785,792,785,818,684,819, 27,200.00,OTHER
16,357,797,472,793,472,817,358,822, VAT107,OTHER
17,524,792,625,791,625,817,524,818, 27,200.00,OTHER
18,356,766,786,762,786,791,356,794, 08801104170116 Kem icewaffle socola 150m,OTHER
19,682,738,784,737,785,761,683,762, 29,800.00,OTHER
20,525,738,624,737,625,761,526,762, 29,800.00,OTHER
21,358,740,474,739,475,763,359,764, VAT107 1,OTHER
22,356,710,776,708,776,736,356,739, 06935855701649 Keo the Playmore dua hau,OTHER
23,357,659,783,654,784,678,358,683, Nhan vien Nguyen Viet Hieu So HD: 09346,OTHER
24,502,629,781,624,781,648,502,653, Ngay: 23/09/2019 11:00:11,TIMESTAMP
25,357,631,450,630,450,654,357,655, Quay: 02,OTHER
26,352,572,773,570,772,598,352,601, Co gia tri xuat Hoa don GTGT trong ngay,OTHER
27,420,547,737,544,738,564,421,567, PHIẾU TINH TIEN,OTHER
28,418,489,753,487,753,513,418,514, Website: www.saigonco?op.com.vn,OTHER
29,430,463,741,460,741,480,430,483, Email: cfthekparkecoopfood.vn,OTHER
30,404,430,752,427,752,456,404,459, P. Phu La, 2. Ha Dong, Tp Ha Noi,ADDRESS
31,438,402,728,400,728,425,437,426, tai Khu do thi moi Van Phu,,ADDRESS
32,350,373,787,368,787,397,350,402, Du an Dau tu xay dung Khu nha o Hi Brand,ADDRESS
33,362,348,772,344,773,363,363,367, ket hop dich vu tren o dat H-CT2 thuoc,ADDRESS
34,351,316,784,311,784,335,351,340, Tang 1,5H42 - Toa K3, Cong trinh chung cua nam,ADDRESS
35,438,288,719,285,719,305,438,308, Ma so thue: 0309129418?115,OTHER
36,446,257,709,254,710,278,447,281, Co.op Food HN THE K-PARK,SELLER
37,510,224,645,227,644,252,509,250, Saigon Co.op,SELLER
