1,239,465,239,480,205,479,205,464,,OTHER
2,255,484,256,500,206,501,205,485, Địa chỉ:,OTHER
3,253,622,253,638,207,637,208,621, 12,000,OTHER
4,255,572,256,587,208,589,208,574, 10.000,OTHER
5,263,529,263,547,204,546,204,528, Đơn giá,OTHER
6,275,553,274,568,208,566,209,551, Trà chanh,OTHER
7,284,446,283,461,205,459,206,444, Khách hàng,OTHER
8,357,594,358,616,206,618,205,595, Hướng dương ác chó,OTHER
9,406,268,405,288,316,286,317,266,,SELLER
10,419,658,420,677,311,677,310,658, Cộng tiền hàng:,OTHER
11,420,710,420,728,341,727,341,709, Tổng cộng:,OTHER
12,420,683,420,701,339,700,339,682, Chiết khấu:,OTHER
13,421,736,420,751,319,749,320,734, Tiền khách đua,OTHER
14,420,761,420,776,355,775,355,760, Tiền thừa:,OTHER
15,435,411,436,429,293,433,292,415, 11/08/2020 - 16:58,TIMESTAMP
16,440,335,441,357,279,359,278,338, ĐT:0058.931.931,OTHER
17,443,371,443,389,282,392,282,374, HÓA ĐƠN BÁN HÀNG,OTHER
18,444,821,444,840,289,839,289,820, Cảm on và hẹn gặp lại:,OTHER
19,448,843,447,861,285,864,285,846, Powered by POS365.VN,OTHER
20,482,310,482,334,244,338,244,314, Tp. Cẩm Phả - Quảng Ninh,ADDRESS
21,492,389,491,407,256,413,255,395, HD110820-0010 - Bàn: MANG VỀ AA,OTHER
22,517,522,518,541,440,543,439,523, Thành tiền,OTHER
23,518,570,518,586,470,585,470,569, 20,000,OTHER
24,520,616,519,635,472,634,473,615, 12,000,OTHER
25,520,660,520,676,473,675,473,659, 32,000,OTHER
26,524,707,525,726,474,727,473,709, 32,000,TOTAL_COST
27,523,735,522,751,475,750,476,734, 32,000,OTHER
