1,48,1191,301,1192,301,1210,48,1209, Samsungtriplecamera,OTHER
2,48,1156,102,1156,102,1175,48,1175,,OTHER
3,26,773,208,774,208,801,26,800, Số GD treo:670,OTHER
4,26,743,206,739,207,766,27,770, TÊN NV:4487CHT,OTHER
5,26,711,131,708,132,736,27,739, Quầy:001,OTHER
6,386,710,549,709,549,732,386,733,,OTHER
7,205,681,379,680,378,704,204,705, Giao dịch treo,OTHER
8,27,651,218,649,218,673,28,675,,TIMESTAMP
9,363,648,550,648,550,674,363,674,,TIMESTAMP
10,291,590,447,590,447,617,291,617, 024.71066366-49871,OTHER
11,263,558,475,558,475,585,263,585, TP. Câm Phả, T, Quang Ninh,ADDRESS
12,28,545,200,549,199,592,27,588, VinCommerce,SELLER
13,265,522,473,525,472,553,264,550, Tổ 8, Khu 3B, P. Câm Trung,ADDRESS
14,241,488,496,492,496,520,241,516, VM+ QNH Tổ 8 Khu 3B Cầm Trung,ADDRESS
