1,465,1352,878,1342,879,1376,466,1386, Ma HD TO COACLITANMY 11:35 27527,OTHER
2,515,1281,910,1277,911,1313,515,1316, hang tài Co.opFood. Hen gap lai,OTHER
3,481,1248,965,1245,965,1280,481,1282, Tran trong can on Quy Khach da den nua,OTHER
4,493,1155,834,1149,835,1178,493,1185, Diem su dung trong hoa don:,OTHER
5,830,1115,900,1110,902,1143,832,1148, 2,272,OTHER
6,494,1120,672,1121,672,1150,494,1148, Diem dau ngay ,OTHER
7,492,1086,888,1079,889,1113,492,1121, Ho ten (Vang) Nguyen Thi Nghia,OTHER
8,643,1051,773,1052,773,1077,642,1077, 1064498938,OTHER
9,495,1056,644,1057,644,1082,494,1081, Ma so,OTHER
10,470,1016,876,1015,876,1049,470,1050, THONG TIN KHÁCH HANG THAN THIET:,OTHER
11,870,982,979,982,979,1012,870,1012, 3,318.18,OTHER
12,469,988,745,983,745,1012,469,1017, Bao gom thue GTGT 10Z:,OTHER
13,869,947,978,945,980,981,870,982, 2,125.71,OTHER
14,468,954,747,949,747,978,469,984, Bao gom thue GT6T 55:,OTHER
15,861,916,978,915,978,945,861,946, 81,140.00,OTHER
16,470,918,575,918,575,948,470,948, Tien mat,OTHER
17,469,885,762,885,762,914,469,914, Phuong thuc thanh toan:,OTHER
18,534,818,773,820,772,850,534,848, Tong so luong hang:,OTHER
19,860,785,978,783,979,813,861,815, 81,140.00,TOTAL_COST
20,472,785,774,785,774,814,472,815, Tong so tien thanh toan:,TOTAL_COST
21,556,715,679,717,678,748,556,746, 0.476 KG,OTHER
22,862,680,979,683,978,714,862,712, 44,640.00,OTHER
23,670,682,791,683,790,712,670,712, 90,000.00,OTHER
24,470,681,552,683,551,714,469,712, VATO5Z,OTHER
25,470,645,932,650,931,684,470,678, 00000002756008 Le do vang Nam Phi kg,OTHER
26,861,617,978,617,977,645,861,645, 29,000.00,OTHER
27,669,618,791,617,791,645,669,647, 27,000.00,OTHER
28,473,618,607,619,607,645,472,644,,OTHER
29,471,583,976,583,976,613,471,613, 08801104190718 Kem Sandwich hinh ca 150m,OTHER
30,875,550,979,550,979,580,875,580, 7,500.00,OTHER
31,684,552,792,549,793,577,683,580, 7,500.00,OTHER
32,474,550,608,554,607,579,474,577,,OTHER
33,473,516,929,517,929,546,473,546, 08934576001777 Banh mi bi 100g-BM790,OTHER
34,472,451,977,453,977,482,471,480, Nhan vien: Dinh Thi Bich Ng So HD: 07663,OTHER
35,644,419,974,418,974,446,645,447, Ngay: 17/09/2019,TIMESTAMP
36,471,415,582,417,581,447,470,446,,OTHER
37,470,345,962,355,961,388,471,378, Co gia tri xuat Hoa don GTGT trong ngay,OTHER
38,549,318,921,323,921,347,548,342,,OTHER
39,550,251,940,259,939,288,549,279, Websiter www.saigonco-op.com.vn,OTHER
40,561,219,926,226,924,254,561,247, Emaily cfthekparkscoopfood,vn,OTHER
41,536,186,936,191,936,221,535,216, P. Phu La, Qu Ha Dong, Tp Ha Noi,ADDRESS
42,576,156,908,161,908,185,576,181, tai Khu do thi moi Van Phu gia,ADDRESS
43,473,121,977,124,977,153,473,151, Du an Dau tu xay dung Khu nha o Hi Brand,OTHER
44,485,88,965,90,965,119,485,117, ket hop dich vu tren o dat H-CT2 thuoc,OTHER
45,476,54,976,58,975,87,475,83, Tang 1,5H42 - Toa K3,Cong trinh chung cuang,OTHER
46,573,29,901,20,902,49,574,56, Ma so thue: 0309129418-115,OTHER
