1,342,790,424,788,425,803,343,805, Thu ngân: BH3,OTHER
2,245,769,520,766,520,784,246,787, SỐ GD: 000AC2212008001305 Ngày: 10/08/2020-17:36,TIMESTAMP
3,234,743,324,739,324,755,235,759, Tiển khách trả:,OTHER
4,481,740,521,740,521,755,481,755, 33,000,OTHER
5,233,724,293,723,294,739,234,740, Tổng tiển:,TOTAL_COST
6,481,720,520,720,520,736,481,736, 33,000,TOTAL_COST
7,235,701,299,701,299,716,235,716, Tổng cộng,OTHER
8,480,695,520,695,520,710,480,710, 33,000,OTHER
9,237,682,286,682,285,698,236,698, Tổng số:,OTHER
10,338,657,362,657,362,669,338,669, LON,OTHER
11,484,654,517,654,517,670,484,670, 8,000,OTHER
12,408,654,441,654,441,670,408,670, 8,000,OTHER
13,241,637,500,633,501,650,241,654, 8938525069108 nước xoài nasami lon 320ml NO,OTHER
14,242,616,293,616,293,631,242,631, Giá bán:,OTHER
15,477,615,516,615,516,630,477,630, 25,000,OTHER
16,407,615,441,615,441,631,407,631, 2,500,OTHER
17,242,598,311,598,311,613,242,613, Giá đăng ký:,OTHER
18,408,597,441,597,441,612,408,612, 3,000,OTHER
19,242,579,496,578,496,594,242,595, 291024500000 kem tràng tiến đậu xanh sửa NT,OTHER
20,246,561,323,563,322,578,245,576, Tôn hàng...S,OTHER
21,315,560,507,561,507,576,315,575, SL ĐVT Đơn giá. Thành tiến,OTHER
22,306,540,457,541,457,556,306,555, HÓA ĐƠN BÁN HÀNG,OTHER
23,307,493,449,493,449,508,308,508, Chợ Sủi Phú Thị Gia Làm,ADDRESS
24,324,472,438,473,438,488,324,487, MINIMARTANAN,SELLER
