1,44,1189,302,1189,302,1212,44,1212, Samsung Triplecamera,OTHER
2,52,1156,102,1156,102,1175,52,1175,,OTHER
3,37,863,218,858,219,885,37,890, Số GD treo:678,OTHER
4,38,832,218,826,219,853,39,859, TÊN NV:4987CHT,OTHER
5,38,800,144,797,144,824,37,827, Quấy:001,OTHER
6,400,798,559,799,558,818,399,817, NVBH:09024524,OTHER
7,216,766,388,765,388,789,216,790, Giao dịch treo,OTHER
8,40,740,230,735,230,760,41,764, Ngày:14/08/2020,TIMESTAMP
9,374,733,561,737,560,763,374,760, Thời gian:10:13,TIMESTAMP
10,301,677,459,677,459,704,301,704, 024.71066866-49871,OTHER
11,275,644,484,645,484,671,275,670, TP. Câm Phà, T, Quảng Ninh,ADDRESS
12,42,633,212,643,210,686,40,675, VinCommerce,SELLER
13,277,607,482,613,481,641,276,635, Tổ 8, Khu 3B, P. Cầm Trung,ADDRESS
14,253,576,507,578,507,606,252,604, VM4 QNH TỔ 8 Khu 3B Cầm Trung,ADDRESS
