1,230,862,518,861,519,880,231,881, Xin cám ơn và hẹn gặp lại quý khách l,OTHER
2,324,843,437,844,437,862,324,861, Thu ngân: BH3,OTHER
3,189,818,573,816,572,834,189,837, SỐ GD: 000AC2212008001092 Ngày: 09/08/2020-17:18,TIMESTAMP
4,515,782,578,781,578,800,515,801, 180,000,OTHER
5,170,781,293,781,293,801,170,800, Tiển khách trả:,OTHER
6,512,751,579,753,580,776,512,774, 180,000,TOTAL_COST
7,168,755,261,758,261,781,167,778, Tổng cộng:,TOTAL_COST
8,165,732,237,734,236,756,164,754, Tổng số:,OTHER
9,509,694,575,693,576,712,510,713, 180,000,OTHER
10,398,693,464,694,464,715,398,713, 180,000,OTHER
11,312,697,348,697,349,713,313,713, GOI,OTHER
12,172,673,525,666,525,685,172,692, 291012480000 Bột giặt omo comfor 5,5kg NT Tri",OTHER
13,279,644,562,639,563,657,280,662,,OTHER
14,176,644,261,645,261,663,177,663, Tên hàng,OTHER
15,265,606,491,605,491,630,265,632, HÓA ĐƠN BÁN HÀNG,OTHER
16,269,539,476,536,477,556,270,558, Chợ Sủi Phú Thị Gia Lâm,ADDRESS
17,291,507,460,506,459,528,290,528, MINIMART ANAN,SELLER
